person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y,loan_status
29,140250,6.0,6500,5.42,0.01,6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
25,51300,9.0,3600,7.49,0.07,3,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
24,75000,5.0,1800,8.94,0.02,4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0
25,32400,2.0,4900,11.49,0.15,2,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
26,80000,5.0,12000,16.29,0.15,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0
21,55000,3.0,4800,11.12,0.09,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
54,125000,13.0,12000,6.62,0.1,24,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
25,89000,4.0,7000,10.99,0.08,3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
24,29004,4.0,5000,6.92,0.17,3,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1
23,58000,1.0,12800,12.42,0.22,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
39,140250,24.0,21000,10.99,0.14,12,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22,90000,6.0,3500,9.25,0.04,2,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
25,24000,0.0,1200,15.21,0.05,4,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0
25,42000,3.0,10000,5.42,0.24,2,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0
23,36000,3.0,9000,9.99,0.25,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
22,54000,4.0,5000,16.35,0.09,3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,1
29,77800,2.0,9000,12.42,0.12,6,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
22,75000,6.0,15000,14.27,0.2,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0
35,75000,5.0,5000,8.7,0.07,9,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
23,78000,7.0,23000,10.99,0.32,2,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
39,98000,22.0,8000,13.49,0.08,16,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
23,36000,2.0,6000,11.86,0.17,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
23,78000,0.0,5000,6.62,0.06,4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1
29,72000,1.0,10000,10.99,0.14,6,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
24,60000,4.0,4000,7.9,0.07,3,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
25,90000,9.0,10000,12.42,0.11,2,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
30,53196,14.0,3000,7.66,0.06,5,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
26,135000,6.0,15000,15.33,0.11,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
25,36000,9.0,6000,10.99,0.17,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
30,61200,4.0,8000,6.62,0.13,8,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
21,75000,5.0,20000,13.11,0.27,2,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0
26,49200,7.0,6000,16.49,0.12,2,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,1
21,41033,2.0,5700,12.99,0.14,4,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
32,70000,7.0,6000,5.42,0.09,6,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
28,84000,0.0,1000,9.99,0.01,10,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
27,118000,3.0,10000,6.17,0.08,6,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
24,43000,7.0,6000,13.49,0.14,3,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
29,65000,13.0,16000,17.27,0.25,6,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0
26,57000,2.0,10000,7.9,0.18,4,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
22,21600,3.0,8500,6.54,0.39,4,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
25,100000,0.0,6000,5.42,0.06,4,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
26,88000,0.0,16000,17.88,0.18,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,1
23,120000,7.0,12000,11.71,0.1,4,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
23,42000,0.0,5000,10.99,0.12,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,1
23,38000,5.0,8000,12.69,0.21,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
23,120000,7.0,8000,10.99,0.07,2,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1
29,44000,4.0,12000,15.96,0.27,7,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
22,64000,4.0,14000,13.23,0.22,3,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0
21,87547,2.0,12000,5.99,0.14,2,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
38,140000,1.0,10000,14.09,0.07,16,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,0
46,88400,1.0,23000,18.39,0.29,16,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1
25,64000,0.0,20000,10.99,0.31,4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,1
24,33996,2.0,5000,12.92,0.15,4,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1
26,35000,2.0,2500,8.9,0.07,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
32,67000,16.0,4000,10.99,0.06,9,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
36,90000,7.0,23000,15.99,0.33,11,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,1
46,114440,0.0,3000,8.59,0.03,17,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
33,140000,14.0,9600,6.91,0.07,5,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22,56400,6.0,23000,16.4,0.44,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1
24,90000,5.0,19200,12.84,0.21,4,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,1
23,69996,7.0,3000,6.39,0.04,4,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
29,68004,3.0,18000,10.0,0.26,10,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
26,78000,6.0,18000,13.49,0.23,4,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
27,38004,0.0,12000,16.77,0.32,6,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
23,75000,4.0,5000,7.49,0.07,4,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
24,75000,8.0,8000,15.23,0.11,3,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
22,71000,1.0,23000,15.95,0.35,4,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,1
22,75000,2.0,21000,10.0,0.28,4,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
22,30712,3.0,10000,15.65,0.33,4,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
33,123000,5.0,12000,11.83,0.1,10,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
23,48880,2.0,5500,10.99,0.11,3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
38,40000,5.0,10000,5.99,0.25,17,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
23,130000,4.0,6800,8.49,0.05,3,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
40,83000,3.0,23000,12.36,0.28,11,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1
27,34000,4.0,14000,19.82,0.41,10,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,1
35,44000,8.0,10000,6.54,0.23,6,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
23,30000,3.0,10000,7.49,0.33,2,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
22,90000,7.0,12000,5.79,0.13,2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
27,61000,11.0,1200,10.37,0.02,9,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
44,88000,8.0,8000,10.38,0.09,11,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
27,85000,2.0,12000,9.91,0.14,7,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
22,66000,5.0,8500,7.51,0.13,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22,38004,6.0,10000,10.74,0.26,3,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
26,68000,11.0,23000,15.65,0.31,2,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
27,43680,3.0,7000,10.65,0.16,10,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
27,72996,12.0,9200,6.03,0.13,8,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22,42000,2.0,6500,5.99,0.15,2,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
23,120000,2.0,6000,6.76,0.05,3,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
26,70000,0.0,8000,10.99,0.11,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
25,24000,2.0,3500,15.58,0.15,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,1
21,45000,5.0,3000,10.99,0.07,4,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
25,107000,4.0,23000,5.99,0.22,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22,66000,4.0,17500,11.48,0.27,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
22,70000,6.0,2000,11.49,0.03,4,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
29,69996,0.0,2400,11.11,0.03,6,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
25,60000,8.0,14000,11.12,0.23,2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
25,72000,9.0,3200,6.39,0.04,4,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
21,25000,1.0,7000,12.69,0.28,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
32,12000,3.0,900,10.28,0.07,5,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1
23,29000,7.0,6000,7.88,0.21,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1
24,33996,8.0,4000,14.91,0.12,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0
38,90000,2.0,5000,8.49,0.06,15,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
22,41600,0.0,2400,12.22,0.06,2,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0
36,112455,3.0,6400,9.99,0.06,16,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
21,83000,5.0,15000,12.84,0.18,4,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,1
23,42000,2.0,3000,6.62,0.07,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
30,69000,3.0,8500,10.99,0.12,5,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1
26,24000,10.0,4500,12.42,0.19,4,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
25,40000,9.0,3500,13.49,0.09,3,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
34,65000,17.0,10000,11.36,0.15,7,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
25,31200,9.0,6000,5.79,0.19,4,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
27,115000,3.0,6000,7.4,0.05,5,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
22,32352,6.0,1000,15.27,0.03,2,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,1
22,78000,6.0,16000,16.45,0.21,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,0
38,140250,4.0,21000,10.37,0.1,11,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
30,138000,3.0,23000,17.93,0.17,6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,1
21,85000,5.0,23000,10.99,0.29,2,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
23,45000,4.0,4800,13.98,0.11,3,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
29,129996,0.0,23000,18.79,0.23,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0
25,85000,5.0,9600,13.85,0.11,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
27,85000,4.0,14400,8.49,0.17,10,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
22,44000,1.0,16000,16.35,0.36,3,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
22,22800,3.0,3000,6.62,0.13,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
29,125000,3.0,23000,10.99,0.19,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,0
25,140250,9.0,7200,10.99,0.05,2,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
21,54000,5.0,13000,7.51,0.24,4,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
24,22000,8.0,8000,5.42,0.36,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
24,21948,2.0,4000,10.99,0.18,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0
23,116000,8.0,15825,15.62,0.14,4,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
27,65000,8.0,3000,12.42,0.05,10,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
27,85000,10.0,19000,13.92,0.22,5,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0
23,63000,2.0,10000,10.59,0.16,2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
23,60000,7.0,4000,15.33,0.07,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
25,100000,3.0,12000,9.91,0.12,2,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
27,140250,11.0,16000,16.77,0.11,6,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0
25,78000,9.0,8000,7.9,0.1,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
25,60000,3.0,7000,10.99,0.12,3,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
34,90000,15.0,15000,11.12,0.17,5,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
27,65000,4.0,23000,7.9,0.43,10,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1
23,60000,7.0,12000,10.99,0.2,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
26,54600,4.0,8000,13.8,0.15,4,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,0
29,38000,8.0,3600,7.14,0.09,9,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
47,52000,4.0,12000,7.29,0.23,13,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
29,89000,1.0,23000,7.49,0.32,6,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1
22,140250,6.0,12000,11.58,0.04,2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
23,129600,7.0,13500,5.42,0.1,2,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
27,23000,4.0,6000,8.9,0.26,6,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
24,100000,4.0,15000,7.49,0.15,2,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
24,49200,8.0,10000,13.49,0.2,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0
23,140250,3.0,5000,10.65,0.03,2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
21,36500,2.0,5500,7.51,0.15,2,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
25,30000,0.0,12000,11.48,0.4,4,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1
24,69000,9.0,3000,11.11,0.04,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
39,65000,12.0,20000,10.74,0.31,17,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1
28,43000,5.0,6000,10.39,0.14,5,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
21,45000,2.0,6000,10.99,0.13,2,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,0
27,113800,3.0,7500,8.63,0.07,10,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
50,76500,1.0,20000,11.99,0.26,17,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,0
25,44000,1.0,8000,12.92,0.18,4,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1
31,67000,9.0,3000,10.65,0.04,9,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
20,98000,4.0,23000,10.99,0.25,4,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0
23,50000,5.0,10000,9.63,0.2,3,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
27,58000,3.0,13000,11.58,0.22,7,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
30,75000,6.0,11200,13.16,0.15,5,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,0
29,30000,3.0,4400,11.49,0.15,6,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
22,57000,6.0,12000,13.11,0.21,2,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
32,59506,13.0,8000,16.07,0.13,7,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0
25,69360,2.0,22000,19.79,0.27,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1
23,44000,0.0,2000,19.13,0.05,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1
24,82000,8.0,23000,10.25,0.3,2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,0
28,95000,5.0,12000,13.11,0.13,9,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,0
28,66000,11.0,9000,13.99,0.14,7,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
23,47000,3.0,15000,11.48,0.32,4,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1
24,32000,6.0,12250,8.94,0.38,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
25,30000,2.0,5200,17.19,0.17,2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,1
30,120000,12.0,6000,5.42,0.05,9,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
22,30000,4.0,4800,10.99,0.16,3,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,1
24,25000,0.0,4400,6.76,0.18,2,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
27,57240,4.0,15000,11.99,0.26,10,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0
45,140250,8.0,10000,5.99,0.06,11,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
24,50004,4.0,7200,12.84,0.14,3,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
30,111000,2.0,12500,19.04,0.11,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,1
